cluster_id	action	victim_path_on_gws	quarantine_path	survivor_path	victim_score	survivor_score
148	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/ChatGPT Image 28. 3. 2025 14_42_48_surrog.png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/ChatGPT Image 28. 3. 2025 14_42_48_surrog.png	gws-backup:GML-Consolidated/unknown/00/ChatGPT Image 28. 3. 2025 14_42_48.png	-2.6	7.4
148	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/.staging/mega/GML-Backup/Mobile Documents/com~apple~CloudDocs/ChatGPT Image 28. 3. 2025 14_42_48.png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/.staging/mega/GML-Backup/Mobile Documents/com~apple~CloudDocs/ChatGPT Image 28. 3. 2025 14_42_48.png	gws-backup:GML-Consolidated/unknown/00/ChatGPT Image 28. 3. 2025 14_42_48.png	-2.6	7.4
149	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/platbaMND_surrog.png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/platbaMND_surrog.png	gws-backup:GML-Consolidated/unknown/00/platbaMND.png	-4.8	5.2
149	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/.staging/mega/GML-Backup/Mobile Documents/com~apple~CloudDocs/Downloads/platbaMND.png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/.staging/mega/GML-Backup/Mobile Documents/com~apple~CloudDocs/Downloads/platbaMND.png	gws-backup:GML-Consolidated/unknown/00/platbaMND.png	-4.8	5.2
150	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/image1_surrog.png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/image1_surrog.png	gws-backup:GML-Consolidated/unknown/00/image1.png	-6.4	3.6
150	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/.staging/mega/GML-Backup/Mobile Documents/com~apple~CloudDocs/image1.png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/.staging/mega/GML-Backup/Mobile Documents/com~apple~CloudDocs/image1.png	gws-backup:GML-Consolidated/unknown/00/image1.png	-6.4	3.6
180	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/17066_1.jpeg	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/17066_1.jpeg	gws-backup:GML-Consolidated/unknown/00/17066_1.jpeg	4.2	14.2
181	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/17066_2.jpeg	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/17066_2.jpeg	gws-backup:GML-Consolidated/unknown/00/17066_2.jpeg	4.1	14.1
182	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/1_6.jpg	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/1_6.jpg	gws-backup:GML-Consolidated/unknown/00/1_6.jpg	8.8	18.8
183	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/20171208_142259_resized.jpg	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/20171208_142259_resized.jpg	gws-backup:GML-Consolidated/unknown/00/20171208_142259_resized.jpg	-0.2	9.8
184	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/20171208_142309_resized.jpg	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/20171208_142309_resized.jpg	gws-backup:GML-Consolidated/unknown/00/20171208_142309_resized.jpg	0.2	10.2
185	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/20171208_142408_resized.jpg	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/20171208_142408_resized.jpg	gws-backup:GML-Consolidated/unknown/00/20171208_142408_resized.jpg	0.2	10.2
186	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/2_6.jpg	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/2_6.jpg	gws-backup:GML-Consolidated/unknown/00/2_6.jpg	9.2	19.2
187	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/3_6.jpg	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/3_6.jpg	gws-backup:GML-Consolidated/unknown/00/3_6.jpg	9.4	19.4
188	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/4_6.jpg	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/4_6.jpg	gws-backup:GML-Consolidated/unknown/00/4_6.jpg	9.1	19.1
189	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/5_6.jpg	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/5_6.jpg	gws-backup:GML-Consolidated/unknown/00/5_6.jpg	9.0	19.0
190	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/6_6.jpg	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/6_6.jpg	gws-backup:GML-Consolidated/unknown/00/6_6.jpg	8.3	18.3
191	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/1634548064118.jpg	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/1634548064118.jpg	gws-backup:GML-Consolidated/unknown/00/1634548064118.jpg	56.4	66.4
192	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/1634548064122.jpg	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/1634548064122.jpg	gws-backup:GML-Consolidated/unknown/00/1634548064122.jpg	56.1	66.1
193	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/1634548064124.jpg	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/1634548064124.jpg	gws-backup:GML-Consolidated/unknown/00/1634548064124.jpg	56.1	66.1
